comparison,auc_a,auc_b,delta_auc,z,p_value
Behavioral vs Content,0.9809338253307202,0.8423260656540912,0.13860775967662897,9.357772470613819,0.0
Fusion vs Content,0.9844783500734934,0.8423260656540912,0.1421522844194022,9.618647976733744,0.0
Fusion vs Behavioral,0.9844783500734934,0.9809338253307202,0.003544524742773225,2.6679031236445256,0.0076326262583858995
