feature,human_mean,human_std,bot_mean,bot_std,cohen_d
account_age_days,2420.4077347609423,747.7553362339064,1428.8938372430446,512.8958546187667,-1.5464112999045516
statuses_per_day,4.811241661054743,20.974025268246034,25.725771992055698,141.31339050626738,0.20703709477364238
followers_per_day,741.0342818991588,2874.1501402375907,8.612042503835141,110.34258835733073,-0.36012000895823193
friends_per_day,2.7477145131624665,25.03217830995069,1.1002372611347453,10.699887036144933,-0.08558481979491993
friends_to_followers,1.4867618253342834,3.4601562627356968,14.589837602652276,54.31885564999231,0.34045387546932293
log_followers,9.190471829999298,4.374133327827123,5.1733729326723985,2.64159106252515,-1.1117711218712039
log_friends,6.006619840342494,1.91558281905537,2.930686089535526,2.8786949672808153,-1.2580352383393747
screen_name_digit_ratio,0.03351051535983043,0.09711384011072807,0.03656078105838872,0.10349217463818455,0.030395150892912358
screen_name_entropy,2.9419933503185023,0.4228249048302498,3.067066758702557,0.33256950504319993,0.32880861931027683
has_description,0.8615717375630858,0.3454734852533088,0.8947368421052632,0.3070391488379567,0.10147764107760537
default_profile,0.21629416005767843,0.4118656318373921,0.6,0.490132517853561,0.8476058634401901
verified,0.46359048305695744,0.49885244892333475,0.007655502392344498,0.0872019059164475,-1.273238723305593
