model,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std
LogReg-Content,0.6722927810310881,0.01382070129555191,0.5664853824638747,0.03515208103479395,0.6547053090173167,0.010481071733162319,0.5014354066985647,0.05492189417141336,0.7190413547592824,0.02150064910345007
LogReg-Behavioral,0.8926973745362977,0.017886344734310056,0.871648547379918,0.020350034545506167,0.8984696779219356,0.031321905720045805,0.8468899521531101,0.018654151856093728,0.9513142640845608,0.005324633835430079
LogReg-Fusion,0.8930962219349169,0.008959265454503517,0.872999241774977,0.009166067210190408,0.8934320843722103,0.026640861511969097,0.8545454545454547,0.020657447985572158,0.9534726493070135,0.00340524486913634
RF-Content,0.766446117575481,0.020239816612801522,0.7018652595437673,0.029444564837363355,0.7761766984154981,0.02288513450237662,0.6411483253588517,0.03791696221274441,0.8296222987409048,0.016760261312879353
RF-Behavioral,0.9239316889328297,0.004489354437969458,0.909567799629043,0.006089586851424865,0.9295716690054159,0.013703004504509026,0.8909090909090909,0.018752074585899923,0.976951848777831,0.0033966022584020106
RF-Fusion,0.9288640454280428,0.004628446065988043,0.9154648724573964,0.004222028135802574,0.9367685526090425,0.021150593406955815,0.8956937799043063,0.012980535852871329,0.980674637047483,0.0034661018845801735
GB-Behavioral,0.9263982896882738,0.0023888197075726232,0.9128411512448581,0.0038804144792395114,0.9292296254734556,0.014304080794969061,0.8976076555023923,0.019281762372832415,0.9748993771317391,0.005125008714912071
GB-Fusion,0.9263915295628735,0.006994137315313715,0.9128167184270064,0.00795665252321906,0.930827500433184,0.026327541644388837,0.8966507177033494,0.023942576082673313,0.9774397744685774,0.005675474792794711
