configuration,roc_auc,delta_vs_full,n_features
All behavioral families,0.9809338253307203,0.0,24
Without age_rates,0.9706638902498774,-0.01026993508084284,19
Without follow_asymmetries,0.9751309100930916,-0.005802915237628659,19
Without profile_completeness,0.9796744855463009,-0.0012593397844193888,18
Without screen_name_structure,0.9797586967172954,-0.0011751286134248362,17
Without engagement_asymmetry,0.9827826433121019,0.0018488179813815897,23
