severity,model,accuracy,f1,precision,recall,roc_auc
0.0,RF-Content,0.7876712328767124,0.7332185886402753,0.797752808988764,0.678343949044586,0.8423260656540912
0.0,RF-Behavioral,0.9301369863013699,0.915702479338843,0.9518900343642611,0.8821656050955414,0.9809338253307203
0.0,RF-Fusion,0.9438356164383561,0.9322314049586777,0.9690721649484536,0.8980891719745223,0.9844783500734934
0.25,RF-Content,0.7767123287671233,0.7145359019264448,0.7937743190661478,0.6496815286624203,0.8301039625183733
0.25,RF-Behavioral,0.9301369863013699,0.915702479338843,0.9518900343642611,0.8821656050955414,0.9809338253307203
0.25,RF-Fusion,0.9438356164383561,0.9322314049586777,0.9690721649484536,0.8980891719745223,0.9842869610485057
0.5,RF-Content,0.7616438356164383,0.6936619718309859,0.7755905511811023,0.6273885350318471,0.8170359198922097
0.5,RF-Behavioral,0.9301369863013699,0.915702479338843,0.9518900343642611,0.8821656050955414,0.9809338253307203
0.5,RF-Fusion,0.9424657534246575,0.9306930693069307,0.9657534246575342,0.8980891719745223,0.9844132778049977
0.75,RF-Content,0.7479452054794521,0.6714285714285714,0.7642276422764228,0.5987261146496815,0.8127449779519843
0.75,RF-Behavioral,0.9301369863013699,0.915702479338843,0.9518900343642611,0.8821656050955414,0.9809338253307203
0.75,RF-Fusion,0.9410958904109589,0.9289256198347108,0.9656357388316151,0.8949044585987261,0.9840381553160216
1.0,RF-Content,0.7301369863013699,0.64376130198915,0.7447698744769874,0.5668789808917197,0.7853304140127388
1.0,RF-Behavioral,0.9301369863013699,0.915702479338843,0.9518900343642611,0.8821656050955414,0.9809338253307203
1.0,RF-Fusion,0.9397260273972603,0.9273927392739274,0.9623287671232876,0.8949044585987261,0.9836362383635473
