model,TN,FP,FN,TP,FPR,FNR
RF-Content,362,54,101,213,0.12980769230769232,0.321656050955414
RF-Behavioral,402,14,37,277,0.03365384615384615,0.1178343949044586
RF-Fusion,407,9,32,282,0.021634615384615384,0.10191082802547771
